
		########################################
		#    ADC to memory transfer via DMA.   #
		########################################

Buffer 1:
========

 Index 	  Address         Value(h)        Value(d)     voltage (mV)
   252	 0x1ffff4b4       0x0000afb9        44985           2265
   253	 0x1ffff4b8       0x00009738        38712           1949
   254	 0x1ffff4bc       0x0000871a        34586           1741
   255	 0x1ffff4c0       0x00007851        30801           1550
   256	 0x1ffff4c4       0x00006a1b        27163           1367
   257	 0x1ffff4c8       0x000059a9        22953           1155
   258	 0x1ffff4cc       0x00004bc1        19393           976
   259	 0x1ffff4d0       0x00005eed        24301           1223
   260	 0x1ffff4d4       0x00005a9c        23196           1168
   261	 0x1ffff4d8       0x00006daa        28074           1413
   262	 0x1ffff4dc       0x0000746c        29804           1500
   263	 0x1ffff4e0       0x00007b08        31496           1585
   264	 0x1ffff4e4       0x00008768        34664           1745
   265	 0x1ffff4e8       0x000078b8        30904           1556
   266	 0x1ffff4ec       0x000068e8        26856           1352
   267	 0x1ffff4f0       0x00005c0c        23564           1186
   268	 0x1ffff4f4       0x000069e1        27105           1364
   269	 0x1ffff4f8       0x00005768        22376           1126
   270	 0x1ffff4fc       0x0000551c        21788           1097
   271	 0x1ffff500       0x000060f8        24824           1249
   272	 0x1ffff504       0x000054a9        21673           1091
   273	 0x1ffff508       0x00006203        25091           1263
   274	 0x1ffff50c       0x00005148        20808           1047
   275	 0x1ffff510       0x000048d0        18640           938
   276	 0x1ffff514       0x00004359        17241           868
   277	 0x1ffff518       0x00005837        22583           1137
   278	 0x1ffff51c       0x0000511c        20764           1045
   279	 0x1ffff520       0x000046f8        18168           914
   280	 0x1ffff524       0x000048ca        18634           938
   281	 0x1ffff528       0x00004308        17160           864
   282	 0x1ffff52c       0x000057fa        22522           1134
   283	 0x1ffff530       0x00005241        21057           1060
   284	 0x1ffff534       0x0000448b        17547           883
   285	 0x1ffff538       0x0000574f        22351           1125
   286	 0x1ffff53c       0x00005370        21360           1075
   287	 0x1ffff540       0x00006429        25641           1291
   288	 0x1ffff544       0x00007287        29319           1476
   289	 0x1ffff548       0x0000824c        33356           1679
   290	 0x1ffff54c       0x00008e98        36504           1838
   291	 0x1ffff550       0x0000809d        32925           1657
   292	 0x1ffff554       0x00006cfc        27900           1404
   293	 0x1ffff558       0x000075e5        30181           1519
   294	 0x1ffff55c       0x000078a2        30882           1555
   295	 0x1ffff560       0x00006914        26900           1354
   296	 0x1ffff564       0x00005a63        23139           1165
   297	 0x1ffff568       0x00004a80        19072           960
   298	 0x1ffff56c       0x00003ec1        16065           808
   299	 0x1ffff570       0x00004808        18440           928
   300	 0x1ffff574       0x000042d0        17104           861
   301	 0x1ffff578       0x000037f1        14321           721
   302	 0x1ffff57c       0x00003805        14341           722
   303	 0x1ffff580       0x00003889        14473           728
   304	 0x1ffff584       0x0000353a        13626           686
   305	 0x1ffff588       0x00004422        17442           878
   306	 0x1ffff58c       0x000058a8        22696           1142
   307	 0x1ffff590       0x00004e98        20120           1013
   308	 0x1ffff594       0x000056a1        22177           1116
   309	 0x1ffff598       0x00005418        21528           1084
   310	 0x1ffff59c       0x00006367        25447           1281
   311	 0x1ffff5a0       0x00007558        30040           1512
   312	 0x1ffff5a4       0x0000791f        31007           1561
   313	 0x1ffff5a8       0x00006617        26135           1316
   314	 0x1ffff5ac       0x00006bf8        27640           1391
   315	 0x1ffff5b0       0x000077eb        30699           1545
   316	 0x1ffff5b4       0x00006dd2        28114           1415
   317	 0x1ffff5b8       0x000071ea        29162           1468
   318	 0x1ffff5bc       0x00005d39        23865           1201
   319	 0x1ffff5c0       0x00006808        26632           1341
   320	 0x1ffff5c4       0x00005f1c        24348           1226
   321	 0x1ffff5c8       0x00005b08        23304           1173
   322	 0x1ffff5cc       0x00006cc7        27847           1402
   323	 0x1ffff5d0       0x00007359        29529           1486
   324	 0x1ffff5d4       0x00008134        33076           1665
   325	 0x1ffff5d8       0x00006d29        27945           1407
   326	 0x1ffff5dc       0x000072f8        29432           1482
   327	 0x1ffff5e0       0x0000813f        33087           1666
   328	 0x1ffff5e4       0x00006bb8        27576           1388
   329	 0x1ffff5e8       0x00007a38        31288           1575
   330	 0x1ffff5ec       0x00008940        35136           1769
   331	 0x1ffff5f0       0x00007188        29064           1463
   332	 0x1ffff5f4       0x000060a8        24744           1245
   333	 0x1ffff5f8       0x00005518        21784           1096
   334	 0x1ffff5fc       0x00006145        24901           1253
   335	 0x1ffff600       0x00005430        21552           1085
   336	 0x1ffff604       0x00006270        25200           1268
   337	 0x1ffff608       0x000051e0        20960           1055
   338	 0x1ffff60c       0x000045c8        17864           899
   339	 0x1ffff610       0x00005149        20809           1047
   340	 0x1ffff614       0x00004778        18296           921
   341	 0x1ffff618       0x000044be        17598           886
   342	 0x1ffff61c       0x000057a1        22433           1129
   343	 0x1ffff620       0x000052a8        21160           1065
   344	 0x1ffff624       0x00004280        17024           857
   345	 0x1ffff628       0x000036d8        14040           706
   346	 0x1ffff62c       0x0000412b        16683           840
   347	 0x1ffff630       0x00003bdf        15327           771
   348	 0x1ffff634       0x00005108        20744           1044
   349	 0x1ffff638       0x00004598        17816           897
   350	 0x1ffff63c       0x0000528c        21132           1064
   351	 0x1ffff640       0x000043f8        17400           876
   352	 0x1ffff644       0x0000576f        22383           1127
   353	 0x1ffff648       0x00005414        21524           1083
   354	 0x1ffff64c       0x000062ad        25261           1271
   355	 0x1ffff650       0x0000752f        29999           1510
   356	 0x1ffff654       0x00007b82        31618           1592
   357	 0x1ffff658       0x000085f3        34291           1726
   358	 0x1ffff65c       0x00007c79        31865           1604
   359	 0x1ffff660       0x00008161        33121           1667
   360	 0x1ffff664       0x00006d4a        27978           1408
   361	 0x1ffff668       0x00007470        29808           1500
   362	 0x1ffff66c       0x00007b48        31560           1589
   363	 0x1ffff670       0x00008648        34376           1730
   364	 0x1ffff674       0x00007b38        31544           1588
   365	 0x1ffff678       0x000086af        34479           1736
   366	 0x1ffff67c       0x00007c77        31863           1604
   367	 0x1ffff680       0x00008197        33175           1670
   368	 0x1ffff684       0x00006c10        27664           1392
   369	 0x1ffff688       0x0000780a        30730           1547
   370	 0x1ffff68c       0x00006c10        27664           1392
   371	 0x1ffff690       0x00007898        30872           1554
   372	 0x1ffff694       0x00006783        26499           1334
   373	 0x1ffff698       0x000060c8        24776           1247
   374	 0x1ffff69c       0x00005580        21888           1102
   375	 0x1ffff6a0       0x00005eff        24319           1224
   376	 0x1ffff6a4       0x00005b68        23400           1178
   377	 0x1ffff6a8       0x00006b8c        27532           1386
   378	 0x1ffff6ac       0x000079ba        31162           1569
   379	 0x1ffff6b0       0x000066e9        26345           1326
   380	 0x1ffff6b4       0x00006057        24663           1241
   381	 0x1ffff6b8       0x000057fc        22524           1134
   382	 0x1ffff6bc       0x00005160        20832           1048
   383	 0x1ffff6c0       0x000046e1        18145           913
   384	 0x1ffff6c4       0x00004917        18711           942
   385	 0x1ffff6c8       0x00003fb2        16306           821
   386	 0x1ffff6cc       0x00003fc3        16323           821
   387	 0x1ffff6d0       0x00003f67        16231           817
   388	 0x1ffff6d4       0x00004051        16465           829
   389	 0x1ffff6d8       0x00003e33        15923           801
   390	 0x1ffff6dc       0x00004858        18520           932
   391	 0x1ffff6e0       0x0000444b        17483           880
   392	 0x1ffff6e4       0x0000579e        22430           1129
   393	 0x1ffff6e8       0x00005238        21048           1059
   394	 0x1ffff6ec       0x00004444        17476           879
   395	 0x1ffff6f0       0x000055b0        21936           1104
   396	 0x1ffff6f4       0x00005f18        24344           1225
   397	 0x1ffff6f8       0x00005c98        23704           1193
   398	 0x1ffff6fc       0x000066c1        26305           1324
   399	 0x1ffff700       0x00006195        24981           1257
   400	 0x1ffff704       0x000052e8        21224           1068
   401	 0x1ffff708       0x000066e8        26344           1326
   402	 0x1ffff70c       0x000062ab        25259           1271
   403	 0x1ffff710       0x00007404        29700           1495
   404	 0x1ffff714       0x00007e99        32409           1631
   405	 0x1ffff718       0x0000742d        29741           1497
   406	 0x1ffff71c       0x00007e78        32376           1630
   407	 0x1ffff720       0x000074fc        29948           1508
   408	 0x1ffff724       0x00007a17        31255           1573
   409	 0x1ffff728       0x00006630        26160           1317
   410	 0x1ffff72c       0x00006bb0        27568           1388
   411	 0x1ffff730       0x000077f8        30712           1546
   412	 0x1ffff734       0x00006c5e        27742           1396
   413	 0x1ffff738       0x000074f8        29944           1507
   414	 0x1ffff73c       0x00007b38        31544           1588
   415	 0x1ffff740       0x0000878a        34698           1747
   416	 0x1ffff744       0x000077ac        30636           1542
   417	 0x1ffff748       0x00006c6f        27759           1397
   418	 0x1ffff74c       0x000075f8        30200           1520
   419	 0x1ffff750       0x00007828        30760           1548
   420	 0x1ffff754       0x00006b3a        27450           1382
   421	 0x1ffff758       0x000078e0        30944           1558
   422	 0x1ffff75c       0x00006878        26744           1346
   423	 0x1ffff760       0x00005cd9        23769           1196
   424	 0x1ffff764       0x00006732        26418           1330
   425	 0x1ffff768       0x000061bc        25020           1259
   426	 0x1ffff76c       0x00005148        20808           1047
   427	 0x1ffff770       0x0000470f        18191           915
   428	 0x1ffff774       0x0000491c        18716           942
   429	 0x1ffff778       0x00003f89        16265           819
   430	 0x1ffff77c       0x00003fc2        16322           821
   431	 0x1ffff780       0x00003e45        15941           802
   432	 0x1ffff784       0x0000493a        18746           943
   433	 0x1ffff788       0x000042b8        17080           860
   434	 0x1ffff78c       0x000034ec        13548           682
   435	 0x1ffff790       0x00004778        18296           921
   436	 0x1ffff794       0x0000461c        17948           903
   437	 0x1ffff798       0x000050e7        20711           1042
   438	 0x1ffff79c       0x00004901        18689           941
   439	 0x1ffff7a0       0x00003fc7        16327           822
   440	 0x1ffff7a4       0x00003dce        15822           796
   441	 0x1ffff7a8       0x00004d04        19716           992
   442	 0x1ffff7ac       0x0000598c        22924           1154
   443	 0x1ffff7b0       0x00004d6b        19819           997
   444	 0x1ffff7b4       0x0000582d        22573           1136
   445	 0x1ffff7b8       0x000050be        20670           1040
   446	 0x1ffff7bc       0x00004a00        18944           953
   447	 0x1ffff7c0       0x00003dd8        15832           797
   448	 0x1ffff7c4       0x00004aa0        19104           961
   449	 0x1ffff7c8       0x00003cb9        15545           782
   450	 0x1ffff7cc       0x00004e50        20048           1009
   451	 0x1ffff7d0       0x00005873        22643           1140
   452	 0x1ffff7d4       0x00005018        20504           1032
   453	 0x1ffff7d8       0x00004a62        19042           958
   454	 0x1ffff7dc       0x00003e18        15896           800
   455	 0x1ffff7e0       0x000049c5        18885           950
   456	 0x1ffff7e4       0x00004014        16404           826
   457	 0x1ffff7e8       0x00003cc8        15560           783
   458	 0x1ffff7ec       0x00004db8        19896           1001
   459	 0x1ffff7f0       0x00005a81        23169           1166
   460	 0x1ffff7f4       0x00004a0f        18959           954
   461	 0x1ffff7f8       0x00003e80        16000           805
   462	 0x1ffff7fc       0x00004886        18566           934
   463	 0x1ffff800       0x00004328        17192           865
   464	 0x1ffff804       0x00005b1b        23323           1174
   465	 0x1ffff808       0x00006c10        27664           1392
   466	 0x1ffff80c       0x00007748        30536           1537
   467	 0x1ffff810       0x00006d8a        28042           1412
   468	 0x1ffff814       0x000072bb        29371           1478
   469	 0x1ffff818       0x000082c8        33480           1685
   470	 0x1ffff81c       0x00008c07        35847           1805
   471	 0x1ffff820       0x00008d91        36241           1824
   472	 0x1ffff824       0x00008d20        36128           1819
   473	 0x1ffff828       0x00008cc7        36039           1814
   474	 0x1ffff82c       0x00008f18        36632           1844
   475	 0x1ffff830       0x00007e59        32345           1628
   476	 0x1ffff834       0x00007412        29714           1496
   477	 0x1ffff838       0x000080a8        32936           1658
   478	 0x1ffff83c       0x00006da3        28067           1413
   479	 0x1ffff840       0x00007390        29584           1489
   480	 0x1ffff844       0x00007e40        32320           1627
   481	 0x1ffff848       0x00007463        29795           1500
   482	 0x1ffff84c       0x00007de9        32233           1623
   483	 0x1ffff850       0x00007ef8        32504           1636
   484	 0x1ffff854       0x0000727b        29307           1475
   485	 0x1ffff858       0x00008210        33296           1676
   486	 0x1ffff85c       0x00008e38        36408           1833
   487	 0x1ffff860       0x00008388        33672           1695
   488	 0x1ffff864       0x00008a28        35368           1780
   489	 0x1ffff868       0x00009388        37768           1901
   490	 0x1ffff86c       0x000099c4        39364           1982
   491	 0x1ffff870       0x0000a2f9        41721           2100
   492	 0x1ffff874       0x0000a770        42864           2158
   493	 0x1ffff878       0x00009028        36904           1858
   494	 0x1ffff87c       0x00007bd0        31696           1596
   495	 0x1ffff880       0x000086f8        34552           1739
   496	 0x1ffff884       0x000079a4        31140           1568
   497	 0x1ffff888       0x00006688        26248           1321
   498	 0x1ffff88c       0x00006190        24976           1257
   499	 0x1ffff890       0x000052b3        21171           1066
   500	 0x1ffff894       0x00004578        17784           895
   501	 0x1ffff898       0x000051d5        20949           1054
   502	 0x1ffff89c       0x00004500        17664           889
   503	 0x1ffff8a0       0x00005343        21315           1073
   504	 0x1ffff8a4       0x000066a2        26274           1323
   505	 0x1ffff8a8       0x0000634b        25419           1279
   506	 0x1ffff8ac       0x0000729c        29340           1477
   507	 0x1ffff8b0       0x00008048        32840           1653
   508	 0x1ffff8b4       0x00007002        28674           1443
   509	 0x1ffff8b8       0x000065fe        26110           1314
   510	 0x1ffff8bc       0x00006b97        27543           1386
   511	 0x1ffff8c0       0x00007808        30728           1547
   512	 0x1ffff8c4       0x00006b00        27392           1379
   513	 0x1ffff8c8       0x00007c22        31778           1600
   514	 0x1ffff8cc       0x00008318        33560           1689
   515	 0x1ffff8d0       0x00008bec        35820           1803
   516	 0x1ffff8d4       0x00008dfb        36347           1830
   517	 0x1ffff8d8       0x00008258        33368           1680
   518	 0x1ffff8dc       0x00008fc0        36800           1853
   519	 0x1ffff8e0       0x00007cc8        31944           1608
   520	 0x1ffff8e4       0x00008158        33112           1667
   521	 0x1ffff8e8       0x00006bb1        27569           1388
   522	 0x1ffff8ec       0x0000786c        30828           1552
   523	 0x1ffff8f0       0x00006af8        27384           1378
   524	 0x1ffff8f4       0x000079ca        31178           1569
   525	 0x1ffff8f8       0x00006491        25745           1296
   526	 0x1ffff8fc       0x00006fcf        28623           1441
   527	 0x1ffff900       0x00006679        26233           1320
   528	 0x1ffff904       0x0000633d        25405           1279
   529	 0x1ffff908       0x000072a7        29351           1477
   530	 0x1ffff90c       0x000080e8        33000           1661
   531	 0x1ffff910       0x00006ef9        28409           1430
   532	 0x1ffff914       0x00006818        26648           1341
   533	 0x1ffff918       0x00005ee9        24297           1223
