
		########################################
		#    ADC to memory transfer via DMA.   #
		########################################

Buffer 1:
========

 Index 	  Address         Value(h)        Value(d)     voltage (mV)
   210	 0x1ffff408       0x00005818        22552           1135
   211	 0x1ffff40c       0x00005157        20823           1048
   212	 0x1ffff410       0x00004803        18435           928
   213	 0x1ffff414       0x00004538        17720           892
   214	 0x1ffff418       0x00005169        20841           1049
   215	 0x1ffff41c       0x0000475e        18270           919
   216	 0x1ffff420       0x00004699        18073           910
   217	 0x1ffff424       0x00004f7f        20351           1024
   218	 0x1ffff428       0x00004d84        19844           999
   219	 0x1ffff42c       0x000057b2        22450           1130
   220	 0x1ffff430       0x000053d1        21457           1080
   221	 0x1ffff434       0x000064f9        25849           1301
   222	 0x1ffff438       0x00006cb8        27832           1401
   223	 0x1ffff43c       0x000074dc        29916           1506
   224	 0x1ffff440       0x00007a38        31288           1575
   225	 0x1ffff444       0x00008a70        35440           1784
   226	 0x1ffff448       0x000094a3        38051           1916
   227	 0x1ffff44c       0x00009399        37785           1902
   228	 0x1ffff450       0x00009885        39045           1966
   229	 0x1ffff454       0x0000823c        33340           1678
   230	 0x1ffff458       0x00008e64        36452           1835
   231	 0x1ffff45c       0x00008398        33688           1696
   232	 0x1ffff460       0x00008918        35096           1767
   233	 0x1ffff464       0x0000738b        29579           1489
   234	 0x1ffff468       0x00008018        32792           1651
   235	 0x1ffff46c       0x00006ee8        28392           1429
   236	 0x1ffff470       0x00006940        26944           1356
   237	 0x1ffff474       0x000058a0        22688           1142
   238	 0x1ffff478       0x00004fa3        20387           1026
   239	 0x1ffff47c       0x00004d93        19859           999
   240	 0x1ffff480       0x00005898        22680           1142
   241	 0x1ffff484       0x00004ee1        20193           1016
   242	 0x1ffff488       0x00004d52        19794           996
   243	 0x1ffff48c       0x00005a58        23128           1164
   244	 0x1ffff490       0x00004b9c        19356           974
   245	 0x1ffff494       0x00005da2        23970           1206
   246	 0x1ffff498       0x00006560        25952           1306
   247	 0x1ffff49c       0x00006d98        28056           1412
   248	 0x1ffff4a0       0x00007210        29200           1470
   249	 0x1ffff4a4       0x00005fff        24575           1237
   250	 0x1ffff4a8       0x0000573b        22331           1124
   251	 0x1ffff4ac       0x00005418        21528           1084
   252	 0x1ffff4b0       0x000064e0        25824           1300
   253	 0x1ffff4b4       0x00006d92        28050           1412
   254	 0x1ffff4b8       0x00007338        29496           1485
   255	 0x1ffff4bc       0x00007ec8        32456           1634
   256	 0x1ffff4c0       0x00007458        29784           1499
   257	 0x1ffff4c4       0x00007d4c        32076           1615
   258	 0x1ffff4c8       0x00007fca        32714           1647
   259	 0x1ffff4cc       0x00007199        29081           1464
   260	 0x1ffff4d0       0x00005f09        24329           1225
   261	 0x1ffff4d4       0x00005a7f        23167           1166
   262	 0x1ffff4d8       0x00004c82        19586           986
   263	 0x1ffff4dc       0x00005c78        23672           1191
   264	 0x1ffff4e0       0x00006958        26968           1357
   265	 0x1ffff4e4       0x00005988        22920           1154
   266	 0x1ffff4e8       0x00004cf8        19704           992
   267	 0x1ffff4ec       0x00005ae9        23273           1171
   268	 0x1ffff4f0       0x00006cf0        27888           1404
   269	 0x1ffff4f4       0x00007389        29577           1489
   270	 0x1ffff4f8       0x0000808c        32908           1657
   271	 0x1ffff4fc       0x00006dfc        28156           1417
   272	 0x1ffff500       0x00007258        29272           1473
   273	 0x1ffff504       0x0000811e        33054           1664
   274	 0x1ffff508       0x00006be7        27623           1390
   275	 0x1ffff50c       0x00007a48        31304           1576
   276	 0x1ffff510       0x0000886d        34925           1758
   277	 0x1ffff514       0x00007528        29992           1510
   278	 0x1ffff518       0x00007a07        31239           1573
   279	 0x1ffff51c       0x0000666a        26218           1320
   280	 0x1ffff520       0x000063c8        25544           1286
   281	 0x1ffff524       0x000070f0        28912           1455
   282	 0x1ffff528       0x000061b8        25016           1259
   283	 0x1ffff52c       0x0000522a        21034           1059
   284	 0x1ffff530       0x00004527        17703           891
   285	 0x1ffff534       0x0000545f        21599           1087
   286	 0x1ffff538       0x00006289        25225           1270
   287	 0x1ffff53c       0x00007459        29785           1499
   288	 0x1ffff540       0x00007ccc        31948           1608
   289	 0x1ffff544       0x000081b8        33208           1672
   290	 0x1ffff548       0x00006bda        27610           1390
   291	 0x1ffff54c       0x000076bc        30396           1530
   292	 0x1ffff550       0x00006f40        28480           1434
   293	 0x1ffff554       0x0000684f        26703           1344
   294	 0x1ffff558       0x00005e01        24065           1211
   295	 0x1ffff55c       0x000065d6        26070           1312
   296	 0x1ffff560       0x00006a23        27171           1368
   297	 0x1ffff564       0x000057f8        22520           1133
   298	 0x1ffff568       0x000053fa        21498           1082
   299	 0x1ffff56c       0x00006365        25445           1281
   300	 0x1ffff570       0x0000737b        29563           1488
   301	 0x1ffff574       0x00007f28        32552           1639
   302	 0x1ffff578       0x000072c4        29380           1479
   303	 0x1ffff57c       0x000082f8        33528           1688
   304	 0x1ffff580       0x00008a88        35464           1785
   305	 0x1ffff584       0x00009438        37944           1910
   306	 0x1ffff588       0x00009518        38168           1921
   307	 0x1ffff58c       0x00009346        37702           1898
   308	 0x1ffff590       0x000099d8        39384           1983
   309	 0x1ffff594       0x0000a16d        41325           2080
   310	 0x1ffff598       0x000086e8        34536           1739
   311	 0x1ffff59c       0x00007b3b        31547           1588
   312	 0x1ffff5a0       0x000085a8        34216           1722
   313	 0x1ffff5a4       0x00008538        34104           1717
   314	 0x1ffff5a8       0x00008458        33880           1705
   315	 0x1ffff5ac       0x00008896        34966           1760
   316	 0x1ffff5b0       0x00007620        30240           1522
   317	 0x1ffff5b4       0x00006f78        28536           1436
   318	 0x1ffff5b8       0x00006678        26232           1320
   319	 0x1ffff5bc       0x000061f8        25080           1262
   320	 0x1ffff5c0       0x000051bc        20924           1053
   321	 0x1ffff5c4       0x00004762        18274           920
   322	 0x1ffff5c8       0x00004534        17716           892
   323	 0x1ffff5cc       0x000052e7        21223           1068
   324	 0x1ffff5d0       0x0000673c        26428           1330
   325	 0x1ffff5d4       0x000060fb        24827           1250
   326	 0x1ffff5d8       0x00005558        21848           1100
   327	 0x1ffff5dc       0x00005efd        24317           1224
   328	 0x1ffff5e0       0x00005ae9        23273           1171
   329	 0x1ffff5e4       0x00006e20        28192           1419
   330	 0x1ffff5e8       0x00007164        29028           1461
   331	 0x1ffff5ec       0x00006118        24856           1251
   332	 0x1ffff5f0       0x000052f8        21240           1069
   333	 0x1ffff5f4       0x00006793        26515           1335
   334	 0x1ffff5f8       0x000060bc        24764           1246
   335	 0x1ffff5fc       0x000053ec        21484           1081
   336	 0x1ffff600       0x000064a4        25764           1297
   337	 0x1ffff604       0x00006db8        28088           1414
   338	 0x1ffff608       0x00007309        29449           1482
   339	 0x1ffff60c       0x000081f8        33272           1675
   340	 0x1ffff610       0x00008d03        36099           1817
   341	 0x1ffff614       0x00008cc8        36040           1814
   342	 0x1ffff618       0x00008d58        36184           1822
   343	 0x1ffff61c       0x00008c8c        35980           1811
   344	 0x1ffff620       0x00008eb8        36536           1839
   345	 0x1ffff624       0x00007f58        32600           1641
   346	 0x1ffff628       0x000072b8        29368           1478
   347	 0x1ffff62c       0x0000819c        33180           1670
   348	 0x1ffff630       0x00006bd0        27600           1389
   349	 0x1ffff634       0x000078ff        30975           1559
   350	 0x1ffff638       0x000066ec        26348           1326
   351	 0x1ffff63c       0x0000624a        25162           1267
   352	 0x1ffff640       0x00005248        21064           1060
   353	 0x1ffff644       0x0000439f        17311           871
   354	 0x1ffff648       0x000058db        22747           1145
   355	 0x1ffff64c       0x00004d58        19800           997
   356	 0x1ffff650       0x00005a38        23096           1162
   357	 0x1ffff654       0x00004b59        19289           971
   358	 0x1ffff658       0x00005e47        24135           1215
   359	 0x1ffff65c       0x00006599        26009           1309
   360	 0x1ffff660       0x00006a7d        27261           1372
   361	 0x1ffff664       0x00007c9f        31903           1606
   362	 0x1ffff668       0x00008245        33349           1679
   363	 0x1ffff66c       0x00008cd8        36056           1815
   364	 0x1ffff670       0x00008d58        36184           1822
   365	 0x1ffff674       0x00008b88        35720           1798
   366	 0x1ffff678       0x00009190        37264           1876
   367	 0x1ffff67c       0x000079e1        31201           1571
   368	 0x1ffff680       0x00006497        25751           1296
   369	 0x1ffff684       0x00006f7b        28539           1437
   370	 0x1ffff688       0x000067ab        26539           1336
   371	 0x1ffff68c       0x00005ec5        24261           1221
   372	 0x1ffff690       0x00005bf8        23544           1185
   373	 0x1ffff694       0x00006a08        27144           1366
   374	 0x1ffff698       0x00005948        22856           1150
   375	 0x1ffff69c       0x00004e34        20020           1008
   376	 0x1ffff6a0       0x00005608        22024           1108
   377	 0x1ffff6a4       0x00005e18        24088           1212
   378	 0x1ffff6a8       0x00006410        25616           1289
   379	 0x1ffff6ac       0x00007285        29317           1476
   380	 0x1ffff6b0       0x00008301        33537           1688
   381	 0x1ffff6b4       0x00008a3c        35388           1781
   382	 0x1ffff6b8       0x000094e6        38118           1919
   383	 0x1ffff6bc       0x000093d8        37848           1905
   384	 0x1ffff6c0       0x000095e3        38371           1932
   385	 0x1ffff6c4       0x00008b08        35592           1792
   386	 0x1ffff6c8       0x000090d8        37080           1867
   387	 0x1ffff6cc       0x00007afd        31485           1585
   388	 0x1ffff6d0       0x00008878        34936           1759
   389	 0x1ffff6d4       0x00007438        29752           1498
   390	 0x1ffff6d8       0x00007caf        31919           1607
   391	 0x1ffff6dc       0x0000814f        33103           1666
   392	 0x1ffff6e0       0x00006d38        27960           1407
   393	 0x1ffff6e4       0x000074bc        29884           1504
   394	 0x1ffff6e8       0x00007a31        31281           1575
   395	 0x1ffff6ec       0x00008989        35209           1772
   396	 0x1ffff6f0       0x00007248        29256           1473
   397	 0x1ffff6f4       0x00008378        33656           1694
   398	 0x1ffff6f8       0x00008b00        35584           1791
   399	 0x1ffff6fc       0x00009188        37256           1875
   400	 0x1ffff700       0x00007938        31032           1562
   401	 0x1ffff704       0x00006798        26520           1335
   402	 0x1ffff708       0x00005f7b        24443           1230
   403	 0x1ffff70c       0x00005a48        23112           1163
   404	 0x1ffff710       0x00004988        18824           947
   405	 0x1ffff714       0x00004073        16499           830
   406	 0x1ffff718       0x00003e29        15913           801
   407	 0x1ffff71c       0x00004975        18805           946
   408	 0x1ffff720       0x0000404c        16460           828
   409	 0x1ffff724       0x00003c5c        15452           778
   410	 0x1ffff728       0x00005064        20580           1036
   411	 0x1ffff72c       0x00004b5d        19293           971
   412	 0x1ffff730       0x00005ea6        24230           1220
   413	 0x1ffff734       0x00005b5e        23390           1177
   414	 0x1ffff738       0x00006c6c        27756           1397
   415	 0x1ffff73c       0x00007567        30055           1513
   416	 0x1ffff740       0x00007b39        31545           1588
   417	 0x1ffff744       0x000085ad        34221           1723
   418	 0x1ffff748       0x000084ad        33965           1710
   419	 0x1ffff74c       0x00008728        34600           1742
   420	 0x1ffff750       0x00007957        31063           1564
   421	 0x1ffff754       0x00006879        26745           1346
   422	 0x1ffff758       0x00005ade        23262           1171
   423	 0x1ffff75c       0x00006e56        28246           1422
   424	 0x1ffff760       0x00006a28        27176           1368
   425	 0x1ffff764       0x00005791        22417           1128
   426	 0x1ffff768       0x000053f8        21496           1082
   427	 0x1ffff76c       0x00006320        25376           1277
   428	 0x1ffff770       0x000074a8        29864           1503
   429	 0x1ffff774       0x00007c5b        31835           1603
   430	 0x1ffff778       0x000081e0        33248           1674
   431	 0x1ffff77c       0x00006aec        27372           1378
   432	 0x1ffff780       0x00007a00        31232           1572
   433	 0x1ffff784       0x000065e8        26088           1313
   434	 0x1ffff788       0x00006d18        27928           1406
   435	 0x1ffff78c       0x00007291        29329           1476
   436	 0x1ffff790       0x00008218        33304           1676
   437	 0x1ffff794       0x00008e38        36408           1833
   438	 0x1ffff798       0x000082f8        33528           1688
   439	 0x1ffff79c       0x00008c38        35896           1807
   440	 0x1ffff7a0       0x00008d10        36112           1818
   441	 0x1ffff7a4       0x00008cc7        36039           1814
   442	 0x1ffff7a8       0x00008ec7        36551           1840
   443	 0x1ffff7ac       0x00008122        33058           1664
   444	 0x1ffff7b0       0x00006cfc        27900           1404
   445	 0x1ffff7b4       0x000072de        29406           1480
   446	 0x1ffff7b8       0x00008218        33304           1676
   447	 0x1ffff7bc       0x00008f18        36632           1844
   448	 0x1ffff7c0       0x00007f58        32600           1641
   449	 0x1ffff7c4       0x000072ae        29358           1478
   450	 0x1ffff7c8       0x000080f8        33016           1662
   451	 0x1ffff7cc       0x00006d40        27968           1408
   452	 0x1ffff7d0       0x000074c8        29896           1505
   453	 0x1ffff7d4       0x00007a48        31304           1576
   454	 0x1ffff7d8       0x00008918        35096           1767
   455	 0x1ffff7dc       0x000072c0        29376           1479
   456	 0x1ffff7e0       0x000081b0        33200           1671
   457	 0x1ffff7e4       0x00006c98        27800           1399
   458	 0x1ffff7e8       0x0000738a        29578           1489
   459	 0x1ffff7ec       0x0000809c        32924           1657
   460	 0x1ffff7f0       0x00006dd8        28120           1415
   461	 0x1ffff7f4       0x000071e2        29154           1468
   462	 0x1ffff7f8       0x00005fe4        24548           1236
   463	 0x1ffff7fc       0x00005743        22339           1124
   464	 0x1ffff800       0x00005521        21793           1097
   465	 0x1ffff804       0x00006153        24915           1254
   466	 0x1ffff808       0x000052f9        21241           1069
   467	 0x1ffff80c       0x00006760        26464           1332
   468	 0x1ffff810       0x00005f10        24336           1225
   469	 0x1ffff814       0x00005bde        23518           1184
   470	 0x1ffff818       0x00006bf0        27632           1391
   471	 0x1ffff81c       0x000076f8        30456           1533
   472	 0x1ffff820       0x00006e7f        28287           1424
   473	 0x1ffff824       0x00006900        26880           1353
   474	 0x1ffff828       0x00005b44        23364           1176
